LeaderboardId,mapper
27be6xxx91,Spoekle & yabje
27102xx91,Elecast
26af7xxx91,Voidless & Goob
265ddxxxx91,"Jabob, Bitz & Spinny"
2561dxxxxx91,"Irish, Rusty & fqrb"
28a4cxxx91,Rusty & Joshabi
29715xxx91,fqrb & yabje
26f2cxx91,"Cobayo, Nolanimations & Atomosophere"
28b2dxxxxxx91,Elecast
2761bxxx91,fqrb & yabje
25771xxx91,RFColaf
2c0d891,okazu x mikuri
244a3xx71,Vilawes & Timbo
2c25a91,AllPoland
27264xxxx91,Rusty
2c23851,Astrella & Timbo
2c2f491,SuperMemer417 & TheGoodBoi
2c2acx91,Taddus & Oegoe
2473cxx51,Purp1e
2473cxx71,Purp1e
2a2efxx71,"Timbo, abcbadq, Narwhal"
2c67391,namaki_mono & gmiz92
28f81xxx91,tocxx
2c9d791,Taddus
285f5x91,Dailyy
1f806xxxxxx51,AlphaComplex
1f806xxxxxx31,AlphaComplex
23b63xxxxxxx91,muffn
23b63xxxxxxx71,muffn
2ddb0x91,nolan121405 & SlimyBlob
2e0d091,Cube Community Team
23cfcxxx91,Joshabi
1fb19xxxxx91,Irish
24754xx91,Coolpick & Nolanimations
2e4bfx91,cerret
28523xxxxxx91,Jabob
28541xxxxxx91,Joshabi & Bitz
1fd62xxx51,ani
2fa0471,JRE_McNuggies & symphonic
2fbdb91,General Dumbass
